name,city,distinct,detail,address,detail_address,franchise,franchise_type,biz_code,위도,경도,rp_key
우리담,서울특별시,강서구,하늘길,70,하늘길70,FALSE,,,37.56874508,126.9935367,
강서구청사거리,서울특별시,강서구,화곡로,350,화곡로350,FALSE,,,37.57035525,126.9743724,
더벤티김포공항점,서울특별시,강서구,하늘길,38,하늘길38,TRUE,더벤티,,37.5735019,126.9880007,
폴바셋증미역점,서울특별시,강서구,양천로,570,양천로570,TRUE,폴바셋,,37.57142088,126.9911932,
라라피크닉,서울특별시,강서구,곰달래로57길,13,곰달래로57길13,FALSE,,,37.57252844,127.0152819,
카페마르멜로,서울특별시,강서구,곰달래로25길,37,곰달래로25길37,FALSE,,,37.53901087,126.8952019,
서울강서시니어클럽호호실실케이터링카페이막,서울특별시,강서구,강서로,262,강서로262,FALSE,,,37.57215927,127.0133801,
컴포즈커피강서,서울특별시,강서구,우현로,16,우현로16,TRUE,컴포즈,,37.57291632,126.988714,
소나카페테라,서울특별시,강서구,강서로45길,45,강서로45길45,FALSE,,,37.58039133,126.9701236,
카페드아야,서울특별시,강서구,강서로52길,13,강서로52길13,FALSE,,,37.52859661,127.1221947,
디저트39등촌역점,서울특별시,강서구,공항대로,531,공항대로531,FALSE,,,37.59123383,126.9925383,
톰과제리,서울특별시,강서구,화곡로66길,107,화곡로66길107,FALSE,,,37.57350163,127.0143652,
커피에빠지다,서울특별시,강서구,우장산로4길,4,우장산로4길4,FALSE,,,37.58124757,126.971278,
광커피,서울특별시,강서구,등촌로5길,21,등촌로5길21,FALSE,,,37.56998844,126.9934233,
브라운바운스,서울특별시,강서구,마곡서로,101,마곡서로101,FALSE,,,37.57123149,126.9890538,
투썸플레이스등촌역점,서울특별시,강서구,공항대로,519,공항대로519,TRUE,투썸플레이스,,37.5723492,126.9970795,
오아시스,서울특별시,강서구,마곡동로,161,마곡동로161,FALSE,,,37.58398105,127.0020719,
공차신방화역점,서울특별시,강서구,마곡중앙5로,81,마곡중앙5로81,TRUE,공차,,37.57364385,126.9742128,
남대문커피,서울특별시,강서구,마곡동로3길,6,마곡동로3길6,FALSE,,,37.6070301,126.9583574,
뎁트커피,서울특별시,강서구,화곡로53길,13,화곡로53길13,FALSE,,,37.57669765,126.9717099,
김포공항DT,서울특별시,강서구,개화동로,517,개화동로517,FALSE,,,37.58098003,126.9868334,
메타킹양천향교역점,서울특별시,강서구,강서로,462,강서로462,FALSE,,,37.57103328,127.0108669,
쓰달탕후루카페,서울특별시,강서구,강서로47길,19,강서로47길19,FALSE,,,37.57075422,126.9922687,
이공커피우,서울특별시,강서구,강서로45길,41,강서로45길41,FALSE,,,37.57503948,126.9703182,
메가엠지씨커피화곡남부,서울특별시,강서구,곰달래로49길,11,곰달래로49길11,TRUE,메가,,37.5846478,127.0001811,
이층창가,서울특별시,강서구,까치산로,46,까치산로46,FALSE,,,37.57387103,126.9855442,
블루포트KC대학교점,서울특별시,강서구,까치산로24길,47,까치산로24길47,FALSE,,,37.57143922,126.9983926,
강서우장산,서울특별시,강서구,강서로,231,강서로231,FALSE,,,37.57285222,126.9807561,
차오르다,서울특별시,강서구,강서로54길,11,강서로54길11,FALSE,,,37.57198786,126.9848427,
매머드익스프레스강서IT밸리점,서울특별시,강서구,화곡로68길,82,화곡로68길82,TRUE,메머드,,37.58036379,126.968165,
브루다커피마곡사이언스파크뷰점,서울특별시,강서구,마곡중앙6로,85,마곡중앙6로85,FALSE,,,37.58134065,126.9889957,
컴포즈커피까치산,서울특별시,강서구,강서로16길,27,강서로16길27,TRUE,컴포즈,,37.56902346,126.9838359,
카카두카페,서울특별시,강서구,마곡동로,161,마곡동로161,FALSE,,,37.57353735,127.0168556,
카페에이,서울특별시,강서구,강서로7길,49,강서로7길49,FALSE,,,37.57593316,127.0218937,
이디아신방화,서울특별시,강서구,방화대로34길,92,방화대로34길92,FALSE,,,37.57763473,126.9718907,
09커피,서울특별시,강서구,강서로45가길,54,강서로45가길54,FALSE,,,37.57473854,126.9583528,
마곡GMG,서울특별시,강서구,마곡중앙6로,16,마곡중앙6로16,FALSE,,,37.57650893,126.9738156,
나떼,서울특별시,강서구,방화동로,1,방화동로1,FALSE,,,37.5805572,127.0047549,
차키차카초코,서울특별시,강서구,마곡중앙로,76,마곡중앙로76,FALSE,,,37.58047528,126.9852033,
메가엠지씨커피까치산역점,서울특별시,강서구,강서로,33,강서로33,TRUE,메가,,37.5726728,126.9863255,
카페종달,서울특별시,강서구,양천로67길,54,양천로67길54,FALSE,,,37.57010574,127.0019922,
숲,서울특별시,강서구,화곡로59길,29,화곡로59길29,FALSE,,,37.57203109,126.9742926,
메가엠지씨커피강서우림블루나인점,서울특별시,강서구,양천로,583,양천로583,TRUE,메가,,37.58057186,126.9714481,
방화DT,서울특별시,강서구,방화대로,375,방화대로375,FALSE,,,37.57647275,126.9732043,
카페오소,서울특별시,강서구,월정로,128,월정로128,FALSE,,,37.57103217,126.9804622,
